sample_code,event_code,event_label,station_code,station_type,sample_suffix,matrix,collection_date,replicate_group,qa_flag,Ca_mg_L,Mg_mg_L,K_mg_L,Na_mg_L,temp_C,pH,EC_uS_cm,TDS_mg_L,NO3_mg_L,Cl_mg_L,SO4_mg_L,HCO3_mg_L,d15N_NO3_permil,d18O_NO3_permil,d2H_H2O_permil,d18O_H2O_permil
E1-QC1-A,E1,E1-DRY,QC,qc,A,soil_water,2024-02-10,E1-L1-A,DUP,25.60121947400293,9.743841687274795,4.465159358973679,15.195700552860183,27.238385442705336,6.507238973837345,272.19225402388827,174.7618206734392,,,,,,,,
E1-QC2-A,E1,E1-DRY,QC,qc,A,soil_water,2024-02-10,E1-L2-A,DUP,29.244195790043772,12.479593513379518,5.331009967893394,15.780466987993051,27.90823830120749,6.212987498962317,252.48209681488285,182.68718912002288,,,,,,,,
E1-QC1-U,E1,E1-DRY,QC,qc,U,soil_water,2024-02-10,E1-L1-U,DUP,,,,,26.55649465571364,6.444715942048633,266.8959915399935,170.7085928540586,9.255056604597701,18.320941133318573,24.63723657158452,167.2058381604528,,,,
E1-QC2-U,E1,E1-DRY,QC,qc,U,soil_water,2024-02-10,E1-L2-U,DUP,,,,,26.884349990173128,6.091605374909935,260.02956473306426,184.15264750179907,20.39156760607489,16.948089680265635,23.086735713349952,140.5858963171324,,,,
E2-QC1-A,E2,E2,QC,qc,A,soil_water,2024-05-25,E2-L1-A,DUP,31.96655286489295,9.98982898788562,4.98234308096471,13.169371359563184,24.635641805583084,6.4409276524656525,306.4583838574673,197.17771795112608,,,,,,,,
E2-QC1-U,E2,E2,QC,qc,U,soil_water,2024-05-25,E2-L1-U,DUP,,,,,26.33211662050207,6.8070082063439,312.1250548431526,194.14784433395874,71.41193418440132,19.65048846797266,23.291073920569872,166.04962021352583,,,,
E3-QC1-A,E3,E3-POST1,QC,qc,A,soil_water,2024-08-20,E3-L2-A,DUP,32.70159900663299,11.995923534642852,5.153204064877424,17.58998031115138,25.69994104899054,6.467709378416452,291.126697925406,201.7015412749604,,,,,,,,
E3-QC1-U,E3,E3-POST1,QC,qc,U,soil_water,2024-08-20,E3-L2-U,DUP,,,,,25.88645068619869,6.509531724272096,295.3467789336383,203.06963155906138,60.49663670004392,25.342535320867853,22.691152925146444,160.6769158026835,,,,
E4-QC1-BLANK,E4,E4,QC,qc,BLANK,blank,2024-11-15,,BLANK,0.158,0.2,0.051,0.18,26.05,6.4,0.97,0.7,0.012,0.025,0.122,0.398,,,,
E6-QC1-BLANK,E6,E6,QC,qc,BLANK,blank,2025-06-10,,BLANK,0.155,0.099,0.062,0.149,25.8,6.75,2.61,1.34,0.156,0.273,0.218,0.493,,,,
E4-QC2-BLANK,E4,E4,QC,qc,BLANK,blank,2024-11-15,,BLANK,0.151,0.052,0.058,0.101,25.9,6.51,2.62,2.31,0.142,0.169,0.189,0.329,,,,
E6-QC2-BLANK,E6,E6,QC,qc,BLANK,blank,2025-06-10,,BLANK,0.053,0.055,0.052,0.222,26.54,6.57,4.43,2.22,0.094,0.089,0.193,0.13,,,,
E4-QC3-BLANK,E4,E4,QC,qc,BLANK,blank,2024-11-15,,BLANK,0.103,0.144,0.081,0.246,25.42,6.3,1.82,0.34,0.141,0.145,0.175,0.041,,,,
E6-QC3-BLANK,E6,E6,QC,qc,BLANK,blank,2025-06-10,,BLANK,0.128,0.054,0.086,0.083,26.12,6.33,3.75,1.53,0.055,0.275,0.064,0.453,,,,
E4-QC4-BLANK,E4,E4,QC,qc,BLANK,blank,2024-11-15,,BLANK,0.169,0.107,0.085,0.05,24.89,6.49,2.43,2.39,0.107,0.139,0.016,0.169,,,,
E6-QC4-BLANK,E6,E6,QC,qc,BLANK,blank,2025-06-10,,BLANK,0.177,0.09,0.056,0.011,25.64,6.52,4.89,0.48,0.17,0.202,0.083,0.148,,,,
