SampleID,PairID,Category,EventCode,Month,Season,Matrix,Station,Latitude,Longitude,Depth_cm,BottleType,InputZone,pH,EC_uScm,TDS_mgL,Ca_mgL,Mg_mgL,Na_mgL,K_mgL,HCO3_mgL,Cl_mgL,SO4_mgL,NO3_mgL,d15N_NO3_permil,d18O_NO3_permil,d2H_H2O_permil,d18O_H2O_permil
E3-POST1-BH2-U,E3-POST1-BH2,Routine,E3-POST1,10,wet,groundwater,BH2,10.875,-0.91,,U,downgradient,6.7,728.0,463.0,,,,,235.0,47.04,13.57,45.87,,,,
E3-POST1-BH2-W,E3-POST1-BH2,Routine,E3-POST1,10,wet,groundwater,BH2,10.875,-0.91,,W,downgradient,6.7,728.0,463.0,,,,,,,,,,,-8.927540919245956,-2.5329567815928886
E3-POST1-BH3-A,E3-POST1-BH3,Routine,E3-POST1,10,wet,groundwater,BH3,10.872,-0.905,,A,downgradient,6.9,744.0,585.0,38.14,36.61,80.99,4.62,,,,,,,,
E3-POST1-BH3-I,E3-POST1-BH3,Routine,E3-POST1,10,wet,groundwater,BH3,10.872,-0.905,,I,downgradient,6.9,744.0,585.0,,,,,,,,159.17,10.570083648205696,9.227257157278569,,
E3-POST1-BH3-U,E3-POST1-BH3,Routine,E3-POST1,10,wet,groundwater,BH3,10.872,-0.905,,U,downgradient,6.9,744.0,585.0,,,,,98.0,143.25,13.36,159.17,,,,
E3-POST1-BH3-W,E3-POST1-BH3,Routine,E3-POST1,10,wet,groundwater,BH3,10.872,-0.905,,W,downgradient,6.9,744.0,585.0,,,,,,,,,,,-14.973163776090846,-3.5987270189625304
E3-POST1-BH4-A,E3-POST1-BH4,Routine,E3-POST1,10,wet,groundwater,BH4,10.869,-0.9,,A,downgradient,6.8,786.0,546.0,48.81,41.0,21.42,10.08,,,,,,,,
E3-POST1-BH4-I,E3-POST1-BH4,Routine,E3-POST1,10,wet,groundwater,BH4,10.869,-0.9,,I,downgradient,6.8,786.0,546.0,,,,,,,,139.17,10.559960262218924,11.781164652884076,,
E3-POST1-BH4-U,E3-POST1-BH4,Routine,E3-POST1,10,wet,groundwater,BH4,10.869,-0.9,,U,downgradient,6.8,786.0,546.0,,,,,177.0,26.15,71.13,139.17,,,,
E3-POST1-BH4-W,E3-POST1-BH4,Routine,E3-POST1,10,wet,groundwater,BH4,10.869,-0.9,,W,downgradient,6.8,786.0,546.0,,,,,,,,,,,-7.359805402854224,-2.644831519695705
E3-POST1-L1-30cm-A,E3-POST1-L1-30,Routine,E3-POST1,10,wet,soil_water,L1,10.892,-0.928,30.0,A,high_input,6.6,771.0,497.0,70.08,19.03,27.5,2.07,,,,,,,,
E3-POST1-L1-30cm-I,E3-POST1-L1-30,Routine,E3-POST1,10,wet,soil_water,L1,10.892,-0.928,30.0,I,high_input,6.6,771.0,497.0,,,,,,,,220.73,0.7444719851416717,15.535259907981146,,
E3-POST1-L1-30cm-U,E3-POST1-L1-30,Routine,E3-POST1,10,wet,soil_water,L1,10.892,-0.928,30.0,U,high_input,6.6,771.0,497.0,,,,,112.0,19.42,17.44,220.73,,,,
E3-POST1-L1-30cm-W,E3-POST1-L1-30,Routine,E3-POST1,10,wet,soil_water,L1,10.892,-0.928,30.0,W,high_input,6.6,771.0,497.0,,,,,,,,,,,-7.015194565784989,-2.016275696315925
E3-POST1-L1-60cm-A,E3-POST1-L1-60,Routine,E3-POST1,10,wet,soil_water,L1,10.892,-0.928,60.0,A,high_input,7.0,445.0,334.0,32.07,18.01,28.47,2.07,,,,,,,,
E3-POST1-L1-60cm-I,E3-POST1-L1-60,Routine,E3-POST1,10,wet,soil_water,L1,10.892,-0.928,60.0,I,high_input,7.0,445.0,334.0,,,,,,,,140.84,2.584060141070384,17.516425230050665,,
E3-POST1-L1-60cm-U,E3-POST1-L1-60,Routine,E3-POST1,10,wet,soil_water,L1,10.892,-0.928,60.0,U,high_input,7.0,445.0,334.0,,,,,39.0,36.02,24.73,140.84,,,,
E3-POST1-L1-60cm-W,E3-POST1-L1-60,Routine,E3-POST1,10,wet,soil_water,L1,10.892,-0.928,60.0,W,high_input,7.0,445.0,334.0,,,,,,,,,,,-12.892564886036151,-2.926926766541796
E3-POST1-L2-30cm-A,E3-POST1-L2-30,Routine,E3-POST1,10,wet,soil_water,L2,10.889,-0.925,30.0,A,moderate_input,6.4,569.0,432.0,51.92,24.02,25.64,6.58,,,,,,,,
E3-POST1-L2-30cm-I,E3-POST1-L2-30,Routine,E3-POST1,10,wet,soil_water,L2,10.889,-0.925,30.0,I,moderate_input,6.4,569.0,432.0,,,,,,,,119.54,2.326307326748415,7.002529544469442,,
E3-POST1-L2-30cm-U,E3-POST1-L2-30,Routine,E3-POST1,10,wet,soil_water,L2,10.889,-0.925,30.0,U,moderate_input,6.4,569.0,432.0,,,,,113.0,65.43,15.07,119.54,,,,
E3-POST1-L2-30cm-W,E3-POST1-L2-30,Routine,E3-POST1,10,wet,soil_water,L2,10.889,-0.925,30.0,W,moderate_input,6.4,569.0,432.0,,,,,,,,,,,-4.030623692455032,-2.170255102393411
E3-POST1-L2-60cm-A,E3-POST1-L2-60,Routine,E3-POST1,10,wet,soil_water,L2,10.889,-0.925,60.0,A,moderate_input,6.5,537.0,364.0,43.78,10.13,43.65,5.93,,,,,,,,
E3-POST1-L2-60cm-I,E3-POST1-L2-60,Routine,E3-POST1,10,wet,soil_water,L2,10.889,-0.925,60.0,I,moderate_input,6.5,537.0,364.0,,,,,,,,84.07,3.357985109931481,11.023335270945909,,
E3-POST1-L2-60cm-U,E3-POST1-L2-60,Routine,E3-POST1,10,wet,soil_water,L2,10.889,-0.925,60.0,U,moderate_input,6.5,537.0,364.0,,,,,74.0,71.08,25.99,84.07,,,,
E3-POST1-L2-60cm-W,E3-POST1-L2-60,Routine,E3-POST1,10,wet,soil_water,L2,10.889,-0.925,60.0,W,moderate_input,6.5,537.0,364.0,,,,,,,,,,,-9.607274084745516,-2.368715997548234
E3-POST1-L3-30cm-A,E3-POST1-L3-30,Routine,E3-POST1,10,wet,soil_water,L3,10.885,-0.868,30.0,A,low_input,6.7,395.0,300.0,45.31,22.21,17.08,3.37,,,,,,,,
E3-POST1-L3-30cm-I,E3-POST1-L3-30,Routine,E3-POST1,10,wet,soil_water,L3,10.885,-0.868,30.0,I,low_input,6.7,395.0,300.0,,,,,,,,51.1,2.913355439307024,10.703905920253868,,
E3-POST1-L3-30cm-U,E3-POST1-L3-30,Routine,E3-POST1,10,wet,soil_water,L3,10.885,-0.868,30.0,U,low_input,6.7,395.0,300.0,,,,,101.0,36.97,11.24,51.1,,,,
E3-POST1-L3-30cm-W,E3-POST1-L3-30,Routine,E3-POST1,10,wet,soil_water,L3,10.885,-0.868,30.0,W,low_input,6.7,395.0,300.0,,,,,,,,,,,-8.99169222665767,-2.82586723310478
E3-POST1-L3-60cm-A,E3-POST1-L3-60,Routine,E3-POST1,10,wet,soil_water,L3,10.885,-0.868,60.0,A,low_input,5.9,334.0,260.0,31.69,9.55,32.83,3.63,,,,,,,,
E3-POST1-L3-60cm-I,E3-POST1-L3-60,Routine,E3-POST1,10,wet,soil_water,L3,10.885,-0.868,60.0,I,low_input,5.9,334.0,260.0,,,,,,,,32.41,5.256872979301677,7.335042619002572,,
E3-POST1-L3-60cm-U,E3-POST1-L3-60,Routine,E3-POST1,10,wet,soil_water,L3,10.885,-0.868,60.0,U,low_input,5.9,334.0,260.0,,,,,77.0,42.56,18.31,32.41,,,,
E3-POST1-L3-60cm-W,E3-POST1-L3-60,Routine,E3-POST1,10,wet,soil_water,L3,10.885,-0.868,60.0,W,low_input,5.9,334.0,260.0,,,,,,,,,,,-1.3006953827843877,-1.7812218486387772
E3-POST1-L4-30cm-A,E3-POST1-L4-30,Routine,E3-POST1,10,wet,soil_water,L4,10.891,-0.89,30.0,A,high_input_manure,5.8,866.0,688.0,70.74,24.56,26.48,4.15,,,,,,,,
E3-POST1-L4-30cm-I,E3-POST1-L4-30,Routine,E3-POST1,10,wet,soil_water,L4,10.891,-0.89,30.0,I,high_input_manure,5.8,866.0,688.0,,,,,,,,370.33,3.459229957661253,9.2863119750938,,
E3-POST1-L4-30cm-U,E3-POST1-L4-30,Routine,E3-POST1,10,wet,soil_water,L4,10.891,-0.89,30.0,U,high_input_manure,5.8,866.0,688.0,,,,,142.0,22.82,16.1,370.33,,,,
E3-POST1-L4-30cm-W,E3-POST1-L4-30,Routine,E3-POST1,10,wet,soil_water,L4,10.891,-0.89,30.0,W,high_input_manure,5.8,866.0,688.0,,,,,,,,,,,-16.955703565232724,-3.33643982581203
E3-POST1-L4-60cm-A,E3-POST1-L4-60,Routine,E3-POST1,10,wet,soil_water,L4,10.891,-0.89,60.0,A,high_input_manure,6.4,561.0,418.0,34.86,20.68,30.92,4.77,,,,,,,,
E3-POST1-L4-60cm-I,E3-POST1-L4-60,Routine,E3-POST1,10,wet,soil_water,L4,10.891,-0.89,60.0,I,high_input_manure,6.4,561.0,418.0,,,,,,,,196.23,1.520709018078612,10.73204280933994,,
E3-POST1-L4-60cm-U,E3-POST1-L4-60,Routine,E3-POST1,10,wet,soil_water,L4,10.891,-0.89,60.0,U,high_input_manure,6.4,561.0,418.0,,,,,47.0,49.04,25.75,196.23,,,,
E3-POST1-L4-60cm-W,E3-POST1-L4-60,Routine,E3-POST1,10,wet,soil_water,L4,10.891,-0.89,60.0,W,high_input_manure,6.4,561.0,418.0,,,,,,,,,,,-11.706750106837111,-3.097200997237258
E4-POST2-BH1-A,E4-POST2-BH1,Routine,E4-POST2,11,wet,groundwater,BH1,10.878,-0.915,,A,upgradient,7.5,485.0,342.0,56.64,14.82,16.97,2.14,,,,,,,,
E4-POST2-BH1-I,E4-POST2-BH1,Routine,E4-POST2,11,wet,groundwater,BH1,10.878,-0.915,,I,upgradient,7.5,485.0,342.0,,,,,,,,31.92,7.339937870283747,10.847629256901662,,
E4-POST2-BH1-U,E4-POST2-BH1,Routine,E4-POST2,11,wet,groundwater,BH1,10.878,-0.915,,U,upgradient,7.5,485.0,342.0,,,,,126.0,60.93,20.22,31.92,,,,
E4-POST2-BH1-W,E4-POST2-BH1,Routine,E4-POST2,11,wet,groundwater,BH1,10.878,-0.915,,W,upgradient,7.5,485.0,342.0,,,,,,,,,,,-21.930145171795765,-4.485147242910774
E4-POST2-BH2-A,E4-POST2-BH2,Routine,E4-POST2,11,wet,groundwater,BH2,10.875,-0.91,,A,downgradient,6.8,857.0,574.0,64.87,25.86,55.86,4.32,,,,,,,,
E4-POST2-BH2-I,E4-POST2-BH2,Routine,E4-POST2,11,wet,groundwater,BH2,10.875,-0.91,,I,downgradient,6.8,857.0,574.0,,,,,,,,32.04,13.591592888460069,11.49305275487522,,
E4-POST2-BH2-U,E4-POST2-BH2,Routine,E4-POST2,11,wet,groundwater,BH2,10.875,-0.91,,U,downgradient,6.8,857.0,574.0,,,,,268.0,59.12,58.26,32.04,,,,
E4-POST2-BH2-W,E4-POST2-BH2,Routine,E4-POST2,11,wet,groundwater,BH2,10.875,-0.91,,W,downgradient,6.8,857.0,574.0,,,,,,,,,,,-17.972265438613597,-4.087808545109452
E4-POST2-BH3-A,E4-POST2-BH3,Routine,E4-POST2,11,wet,groundwater,BH3,10.872,-0.905,,A,downgradient,6.8,1230.0,912.0,82.58,33.03,105.84,5.65,,,,,,,,
E4-POST2-BH3-I,E4-POST2-BH3,Routine,E4-POST2,11,wet,groundwater,BH3,10.872,-0.905,,I,downgradient,6.8,1230.0,912.0,,,,,,,,176.04,10.273915098193504,12.01030368355676,,
E4-POST2-BH3-U,E4-POST2-BH3,Routine,E4-POST2,11,wet,groundwater,BH3,10.872,-0.905,,U,downgradient,6.8,1230.0,912.0,,,,,425.0,32.36,45.85,176.04,,,,
E4-POST2-BH3-W,E4-POST2-BH3,Routine,E4-POST2,11,wet,groundwater,BH3,10.872,-0.905,,W,downgradient,6.8,1230.0,912.0,,,,,,,,,,,-21.164005764895265,-4.441360554212458
E4-POST2-BH4-A,E4-POST2-BH4,Routine,E4-POST2,11,wet,groundwater,BH4,10.869,-0.9,,A,downgradient,6.9,922.0,549.0,37.16,27.77,63.75,9.54,,,,,,,,
E4-POST2-BH4-I,E4-POST2-BH4,Routine,E4-POST2,11,wet,groundwater,BH4,10.869,-0.9,,I,downgradient,6.9,922.0,549.0,,,,,,,,220.09,10.193187609627545,14.468683930850595,,
E4-POST2-BH4-U,E4-POST2-BH4,Routine,E4-POST2,11,wet,groundwater,BH4,10.869,-0.9,,U,downgradient,6.9,922.0,549.0,,,,,115.0,35.95,34.21,220.09,,,,
E4-POST2-BH4-W,E4-POST2-BH4,Routine,E4-POST2,11,wet,groundwater,BH4,10.869,-0.9,,W,downgradient,6.9,922.0,549.0,,,,,,,,,,,-16.75257756740145,-3.5541739955230898
E4-POST2-L1-30cm-A,E4-POST2-L1-30,Routine,E4-POST2,11,wet,soil_water,L1,10.892,-0.928,30.0,A,high_input,5.7,880.0,522.0,79.93,19.15,33.9,3.01,,,,,,,,
E4-POST2-L1-30cm-I,E4-POST2-L1-30,Routine,E4-POST2,11,wet,soil_water,L1,10.892,-0.928,30.0,I,high_input,5.7,880.0,522.0,,,,,,,,123.36,1.2558155547310357,8.667744432250046,,
E4-POST2-L1-30cm-U,E4-POST2-L1-30,Routine,E4-POST2,11,wet,soil_water,L1,10.892,-0.928,30.0,U,high_input,5.7,880.0,522.0,,,,,153.0,58.23,39.22,123.36,,,,
E4-POST2-L1-30cm-W,E4-POST2-L1-30,Routine,E4-POST2,11,wet,soil_water,L1,10.892,-0.928,30.0,W,high_input,5.7,880.0,522.0,,,,,,,,,,,-3.670605288064015,-2.1932702572939187
E4-POST2-L1-60cm-A,E4-POST2-L1-60,Routine,E4-POST2,11,wet,soil_water,L1,10.892,-0.928,60.0,A,high_input,6.0,842.0,573.0,85.7,26.11,19.69,3.64,,,,,,,,
E4-POST2-L1-60cm-I,E4-POST2-L1-60,Routine,E4-POST2,11,wet,soil_water,L1,10.892,-0.928,60.0,I,high_input,6.0,842.0,573.0,,,,,,,,203.52,2.821654540865365,14.537077435679905,,
E4-POST2-L1-60cm-U,E4-POST2-L1-60,Routine,E4-POST2,11,wet,soil_water,L1,10.892,-0.928,60.0,U,high_input,6.0,842.0,573.0,,,,,158.0,17.75,52.69,203.52,,,,
E4-POST2-L1-60cm-W,E4-POST2-L1-60,Routine,E4-POST2,11,wet,soil_water,L1,10.892,-0.928,60.0,W,high_input,6.0,842.0,573.0,,,,,,,,,,,-8.282732115144483,-2.177664265344138
E4-POST2-L2-30cm-A,E4-POST2-L2-30,Routine,E4-POST2,11,wet,soil_water,L2,10.889,-0.925,30.0,A,moderate_input,6.8,650.0,493.0,53.99,15.94,48.56,3.4,,,,,,,,
E4-POST2-L2-30cm-I,E4-POST2-L2-30,Routine,E4-POST2,11,wet,soil_water,L2,10.889,-0.925,30.0,I,moderate_input,6.8,650.0,493.0,,,,,,,,158.23,2.961496509222953,10.668449318014543,,
E4-POST2-L2-30cm-U,E4-POST2-L2-30,Routine,E4-POST2,11,wet,soil_water,L2,10.889,-0.925,30.0,U,moderate_input,6.8,650.0,493.0,,,,,182.0,17.75,6.38,158.23,,,,
E4-POST2-L2-30cm-W,E4-POST2-L2-30,Routine,E4-POST2,11,wet,soil_water,L2,10.889,-0.925,30.0,W,moderate_input,6.8,650.0,493.0,,,,,,,,,,,-8.290906625285947,-2.648264611600162
E4-POST2-L2-60cm-A,E4-POST2-L2-60,Routine,E4-POST2,11,wet,soil_water,L2,10.889,-0.925,60.0,A,moderate_input,6.8,930.0,575.0,65.69,27.15,52.48,1.9,,,,,,,,
E4-POST2-L2-60cm-I,E4-POST2-L2-60,Routine,E4-POST2,11,wet,soil_water,L2,10.889,-0.925,60.0,I,moderate_input,6.8,930.0,575.0,,,,,,,,105.58,1.4211038013918351,9.614512077572096,,
E4-POST2-L2-60cm-U,E4-POST2-L2-60,Routine,E4-POST2,11,wet,soil_water,L2,10.889,-0.925,60.0,U,moderate_input,6.8,930.0,575.0,,,,,216.0,65.94,29.26,105.58,,,,
E4-POST2-L2-60cm-W,E4-POST2-L2-60,Routine,E4-POST2,11,wet,soil_water,L2,10.889,-0.925,60.0,W,moderate_input,6.8,930.0,575.0,,,,,,,,,,,-4.691791889471592,-1.8089340068748625
E4-POST2-L3-30cm-A,E4-POST2-L3-30,Routine,E4-POST2,11,wet,soil_water,L3,10.885,-0.868,30.0,A,low_input,5.9,457.0,351.0,46.51,15.61,32.22,1.77,,,,,,,,
E4-POST2-L3-30cm-I,E4-POST2-L3-30,Routine,E4-POST2,11,wet,soil_water,L3,10.885,-0.868,30.0,I,low_input,5.9,457.0,351.0,,,,,,,,74.71,2.0864553045167207,11.923241551767097,,
E4-POST2-L3-30cm-U,E4-POST2-L3-30,Routine,E4-POST2,11,wet,soil_water,L3,10.885,-0.868,30.0,U,low_input,5.9,457.0,351.0,,,,,158.0,10.39,4.87,74.71,,,,
E4-POST2-L3-30cm-W,E4-POST2-L3-30,Routine,E4-POST2,11,wet,soil_water,L3,10.885,-0.868,30.0,W,low_input,5.9,457.0,351.0,,,,,,,,,,,-10.626757299060982,-3.026800376588961
E4-POST2-L3-60cm-A,E4-POST2-L3-60,Routine,E4-POST2,11,wet,soil_water,L3,10.885,-0.868,60.0,A,low_input,6.2,739.0,452.0,51.47,22.93,32.75,1.08,,,,,,,,
E4-POST2-L3-60cm-I,E4-POST2-L3-60,Routine,E4-POST2,11,wet,soil_water,L3,10.885,-0.868,60.0,I,low_input,6.2,739.0,452.0,,,,,,,,46.52,5.519292788799197,5.647939736713561,,
E4-POST2-L3-60cm-U,E4-POST2-L3-60,Routine,E4-POST2,11,wet,soil_water,L3,10.885,-0.868,60.0,U,low_input,6.2,739.0,452.0,,,,,234.0,37.23,20.59,46.52,,,,
E4-POST2-L3-60cm-W,E4-POST2-L3-60,Routine,E4-POST2,11,wet,soil_water,L3,10.885,-0.868,60.0,W,low_input,6.2,739.0,452.0,,,,,,,,,,,-13.76115303999083,-2.872662099895745
E4-POST2-L4-30cm-A,E4-POST2-L4-30,Routine,E4-POST2,11,wet,soil_water,L4,10.891,-0.89,30.0,A,high_input_manure,5.6,1041.0,633.0,103.0,22.52,33.88,5.43,,,,,,,,
E4-POST2-L4-30cm-I,E4-POST2-L4-30,Routine,E4-POST2,11,wet,soil_water,L4,10.891,-0.89,30.0,I,high_input_manure,5.6,1041.0,633.0,,,,,,,,191.38,-0.5498861765276131,8.95529641555361,,
E4-POST2-L4-30cm-U,E4-POST2-L4-30,Routine,E4-POST2,11,wet,soil_water,L4,10.891,-0.89,30.0,U,high_input_manure,5.6,1041.0,633.0,,,,,166.0,64.7,38.54,191.38,,,,
E4-POST2-L4-30cm-W,E4-POST2-L4-30,Routine,E4-POST2,11,wet,soil_water,L4,10.891,-0.89,30.0,W,high_input_manure,5.6,1041.0,633.0,,,,,,,,,,,-11.145991052635855,-3.023500188575176
E4-POST2-L4-60cm-A,E4-POST2-L4-60,Routine,E4-POST2,11,wet,soil_water,L4,10.891,-0.89,60.0,A,high_input_manure,5.8,1110.0,792.0,109.05,30.6,18.29,7.25,,,,,,,,
E4-POST2-L4-60cm-I,E4-POST2-L4-60,Routine,E4-POST2,11,wet,soil_water,L4,10.891,-0.89,60.0,I,high_input_manure,5.8,1110.0,792.0,,,,,,,,342.08,3.973763399841508,10.35455771517362,,
E4-POST2-L4-60cm-U,E4-POST2-L4-60,Routine,E4-POST2,11,wet,soil_water,L4,10.891,-0.89,60.0,U,high_input_manure,5.8,1110.0,792.0,,,,,205.0,20.81,52.78,342.08,,,,
E4-POST2-L4-60cm-W,E4-POST2-L4-60,Routine,E4-POST2,11,wet,soil_water,L4,10.891,-0.89,60.0,W,high_input_manure,5.8,1110.0,792.0,,,,,,,,,,,-7.311647284454924,-2.4209903548925293
E5-PEAK-AW1-A,E5-PEAK-AW1,Routine,E5-PEAK,13,wet_peak,groundwater,AW1,10.865,-0.895,,A,supplementary,7.5,751.0,464.0,45.1,11.69,57.47,7.22,,,,,,,,
E5-PEAK-AW1-U,E5-PEAK-AW1,Routine,E5-PEAK,13,wet_peak,groundwater,AW1,10.865,-0.895,,U,supplementary,7.5,751.0,464.0,,,,,227.0,13.75,72.44,19.23,,,,
E5-PEAK-AW1-W,E5-PEAK-AW1,Routine,E5-PEAK,13,wet_peak,groundwater,AW1,10.865,-0.895,,W,supplementary,7.5,751.0,464.0,,,,,,,,,,,-22.293168054462527,-4.488909183186191
E5-PEAK-AW2-A,E5-PEAK-AW2,Routine,E5-PEAK,13,wet_peak,groundwater,AW2,10.863,-0.892,,A,supplementary,7.2,978.0,725.0,100.46,24.41,58.17,5.57,,,,,,,,
E5-PEAK-AW2-U,E5-PEAK-AW2,Routine,E5-PEAK,13,wet_peak,groundwater,AW2,10.863,-0.892,,U,supplementary,7.2,978.0,725.0,,,,,402.0,88.66,11.17,23.81,,,,
E5-PEAK-AW2-W,E5-PEAK-AW2,Routine,E5-PEAK,13,wet_peak,groundwater,AW2,10.863,-0.892,,W,supplementary,7.2,978.0,725.0,,,,,,,,,,,-7.372781227629634,-2.5233429307552253
E5-PEAK-AW3-A,E5-PEAK-AW3,Routine,E5-PEAK,13,wet_peak,groundwater,AW3,10.861,-0.889,,A,supplementary,6.6,964.0,699.0,87.99,26.53,51.09,7.43,,,,,,,,
E5-PEAK-AW3-U,E5-PEAK-AW3,Routine,E5-PEAK,13,wet_peak,groundwater,AW3,10.861,-0.889,,U,supplementary,6.6,964.0,699.0,,,,,271.0,36.07,77.65,133.31,,,,
E5-PEAK-AW3-W,E5-PEAK-AW3,Routine,E5-PEAK,13,wet_peak,groundwater,AW3,10.861,-0.889,,W,supplementary,6.6,964.0,699.0,,,,,,,,,,,-20.968075575182088,-4.305923682722278
E5-PEAK-AW4-A,E5-PEAK-AW4,Routine,E5-PEAK,13,wet_peak,groundwater,AW4,10.859,-0.886,,A,supplementary,7.2,835.0,546.0,69.4,20.32,38.45,10.19,,,,,,,,
E5-PEAK-AW4-U,E5-PEAK-AW4,Routine,E5-PEAK,13,wet_peak,groundwater,AW4,10.859,-0.886,,U,supplementary,7.2,835.0,546.0,,,,,213.0,14.15,71.45,98.16,,,,
E5-PEAK-AW4-W,E5-PEAK-AW4,Routine,E5-PEAK,13,wet_peak,groundwater,AW4,10.859,-0.886,,W,supplementary,7.2,835.0,546.0,,,,,,,,,,,-7.938156637456774,-2.5739910680154834
E5-PEAK-AW5-A,E5-PEAK-AW5,Routine,E5-PEAK,13,wet_peak,groundwater,AW5,10.857,-0.883,,A,supplementary,7.1,937.0,640.0,55.52,30.12,79.04,2.82,,,,,,,,
E5-PEAK-AW5-U,E5-PEAK-AW5,Routine,E5-PEAK,13,wet_peak,groundwater,AW5,10.857,-0.883,,U,supplementary,7.1,937.0,640.0,,,,,203.0,80.36,52.13,131.32,,,,
E5-PEAK-AW5-W,E5-PEAK-AW5,Routine,E5-PEAK,13,wet_peak,groundwater,AW5,10.857,-0.883,,W,supplementary,7.1,937.0,640.0,,,,,,,,,,,-8.235724523130383,-2.902154533569973
E5-PEAK-AW6-A,E5-PEAK-AW6,Routine,E5-PEAK,13,wet_peak,groundwater,AW6,10.855,-0.88,,A,supplementary,6.9,1097.0,732.0,105.05,24.73,49.17,4.23,,,,,,,,
E5-PEAK-AW6-U,E5-PEAK-AW6,Routine,E5-PEAK,13,wet_peak,groundwater,AW6,10.855,-0.88,,U,supplementary,6.9,1097.0,732.0,,,,,356.0,74.72,17.46,88.76,,,,
E5-PEAK-AW6-W,E5-PEAK-AW6,Routine,E5-PEAK,13,wet_peak,groundwater,AW6,10.855,-0.88,,W,supplementary,6.9,1097.0,732.0,,,,,,,,,,,-19.31033330032308,-4.083503406522127
E5-PEAK-AW7-A,E5-PEAK-AW7,Routine,E5-PEAK,13,wet_peak,groundwater,AW7,10.853,-0.877,,A,supplementary,6.9,1031.0,705.0,117.23,24.7,27.83,1.65,,,,,,,,
E5-PEAK-AW7-U,E5-PEAK-AW7,Routine,E5-PEAK,13,wet_peak,groundwater,AW7,10.853,-0.877,,U,supplementary,6.9,1031.0,705.0,,,,,363.0,29.15,43.6,86.83,,,,
E5-PEAK-AW7-W,E5-PEAK-AW7,Routine,E5-PEAK,13,wet_peak,groundwater,AW7,10.853,-0.877,,W,supplementary,6.9,1031.0,705.0,,,,,,,,,,,-11.488837002001604,-3.0687974496913903
E5-PEAK-AW8-A,E5-PEAK-AW8,Routine,E5-PEAK,13,wet_peak,groundwater,AW8,10.851,-0.874,,A,supplementary,7.3,954.0,734.0,75.26,40.32,68.61,6.35,,,,,,,,
E5-PEAK-AW8-U,E5-PEAK-AW8,Routine,E5-PEAK,13,wet_peak,groundwater,AW8,10.851,-0.874,,U,supplementary,7.3,954.0,734.0,,,,,350.0,106.07,20.56,54.25,,,,
E5-PEAK-AW8-W,E5-PEAK-AW8,Routine,E5-PEAK,13,wet_peak,groundwater,AW8,10.851,-0.874,,W,supplementary,7.3,954.0,734.0,,,,,,,,,,,-16.961078988437478,-4.1179860892591575
E5-PEAK-BH1-A,E5-PEAK-BH1,Routine,E5-PEAK,13,wet_peak,groundwater,BH1,10.878,-0.915,,A,upgradient,6.8,1132.0,763.0,109.27,20.68,71.84,2.01,,,,,,,,
E5-PEAK-BH1-I,E5-PEAK-BH1,Routine,E5-PEAK,13,wet_peak,groundwater,BH1,10.878,-0.915,,I,upgradient,6.8,1132.0,763.0,,,,,,,,29.95,8.253751832381466,11.192759109137397,,
E5-PEAK-BH1-U,E5-PEAK-BH1,Routine,E5-PEAK,13,wet_peak,groundwater,BH1,10.878,-0.915,,U,upgradient,6.8,1132.0,763.0,,,,,401.0,106.18,14.1,29.95,,,,
E5-PEAK-BH1-W,E5-PEAK-BH1,Routine,E5-PEAK,13,wet_peak,groundwater,BH1,10.878,-0.915,,W,upgradient,6.8,1132.0,763.0,,,,,,,,,,,-23.073156214277933,-4.449515284400713
E5-PEAK-BH2-A,E5-PEAK-BH2,Routine,E5-PEAK,13,wet_peak,groundwater,BH2,10.875,-0.91,,A,downgradient,7.4,1004.0,588.0,69.23,42.9,22.22,6.28,,,,,,,,
E5-PEAK-BH2-I,E5-PEAK-BH2,Routine,E5-PEAK,13,wet_peak,groundwater,BH2,10.875,-0.91,,I,downgradient,7.4,1004.0,588.0,,,,,,,,24.57,11.012426601960456,8.40469181078031,,
E5-PEAK-BH2-U,E5-PEAK-BH2,Routine,E5-PEAK,13,wet_peak,groundwater,BH2,10.875,-0.91,,U,downgradient,7.4,1004.0,588.0,,,,,300.0,63.99,50.23,24.57,,,,
E5-PEAK-BH2-W,E5-PEAK-BH2,Routine,E5-PEAK,13,wet_peak,groundwater,BH2,10.875,-0.91,,W,downgradient,7.4,1004.0,588.0,,,,,,,,,,,-7.992344489377837,-2.5139334778104168
E5-PEAK-BH3-A,E5-PEAK-BH3,Routine,E5-PEAK,13,wet_peak,groundwater,BH3,10.872,-0.905,,A,downgradient,7.0,1580.0,1070.0,98.75,43.05,119.1,5.08,,,,,,,,
E5-PEAK-BH3-I,E5-PEAK-BH3,Routine,E5-PEAK,13,wet_peak,groundwater,BH3,10.872,-0.905,,I,downgradient,7.0,1580.0,1070.0,,,,,,,,212.79,10.245753094072688,9.284071489450078,,
E5-PEAK-BH3-U,E5-PEAK-BH3,Routine,E5-PEAK,13,wet_peak,groundwater,BH3,10.872,-0.905,,U,downgradient,7.0,1580.0,1070.0,,,,,467.0,36.67,81.36,212.79,,,,
E5-PEAK-BH3-W,E5-PEAK-BH3,Routine,E5-PEAK,13,wet_peak,groundwater,BH3,10.872,-0.905,,W,downgradient,7.0,1580.0,1070.0,,,,,,,,,,,-21.982883139479025,-4.289108267789098
